8.991    4.277    6    8    -1
7.676    3.670    -7    5    -7
0.507    7.407    4    2    -3
1.936    -8.139    -3    -4    -4
-0.806    -4.704    -6    -8    -7
-6.657    5.574    -6    5    -6
-2.438    3.693    -3    -1    6
-6.389    -8.923    -9    -2    6
-1.926    5.702    0    -1    1
7.241    -5.851    -8    0    -7
0.431    8.048    8    4    -2
-0.423    9.272    9    8    -6
2.625    8.634    8    7    4
9.792    -0.391    3    4    4
3.615    1.930    5    -1    5
3.264    -9.560    1    8    -7
-3.828    2.048    2    1    3
-1.384    9.140    -6    -1    3
0.119    8.709    -5    -1    -8
-3.237    8.316    2    4    6
